"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played"
"Manchester City","Premier League","England","2024","Arrivals","Savinho","https://www.transfermarkt.com/savinho/profil/spieler/743591","Left Winger","20","Brazil","Troyes","Ligue 2","France",2.5e+07,FALSE,NA,"Summer",58,48,3,3087
"Manchester City","Premier League","England","2024","Arrivals","İlkay Gündoğan","https://www.transfermarkt.com/ilkay-gundogan/profil/spieler/53622","Central Midfield","33","Germany","Barcelona","LaLiga","Spain",0,FALSE,NA,"Summer",59,54,5,3359
"Manchester City","Premier League","England","2024","Arrivals","Nico O'Reilly","https://www.transfermarkt.com/nico-oreilly/profil/spieler/743413","Left-Back","19","England","Man City U21","Premier League 2","England",NA,FALSE,"-","Summer",50,21,5,1344
"Manchester City","Premier League","England","2024","Arrivals","João Cancelo","https://www.transfermarkt.com/joao-cancelo/profil/spieler/182712","Right-Back","30","Portugal","Barcelona","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Manchester City","Premier League","England","2024","Arrivals","Kalvin Phillips","https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749","Defensive Midfield","28","England","West Ham","Premier League","England",NA,TRUE,"End of loan 30/06/2024","Summer",1,0,0,0
"Manchester City","Premier League","England","2024","Arrivals","Yan Couto","https://www.transfermarkt.com/yan-couto/profil/spieler/627228","Right-Back","22","Brazil","Girona","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Manchester City","Premier League","England","2024","Arrivals","Máximo Perrone","https://www.transfermarkt.com/maximo-perrone/profil/spieler/668547","Defensive Midfield","21","Argentina","UD Las Palmas","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Manchester City","Premier League","England","2024","Arrivals","Josh Wilson-Esbrand","https://www.transfermarkt.com/josh-wilson-esbrand/profil/spieler/576121","Left-Back","21","England","Cardiff","Championship","Wales",NA,TRUE,"End of loan 30/06/2024","Summer",5,0,0,0
"Manchester City","Premier League","England","2024","Arrivals","Omar Marmoush","https://www.transfermarkt.com/omar-marmoush/profil/spieler/445939","Centre-Forward","25","Egypt","Frankfurt","Bundesliga","Germany",7.5e+07,FALSE,NA,"Winter",27,25,8,1699
"Manchester City","Premier League","England","2024","Arrivals","Nico González","https://www.transfermarkt.com/nico-gonzalez/profil/spieler/466805","Defensive Midfield","23","Spain","Porto","Liga Portugal","Portugal",6e+07,FALSE,NA,"Winter",25,17,2,952
"Manchester City","Premier League","England","2024","Arrivals","Abdukodir Khusanov","https://www.transfermarkt.com/abdukodir-khusanov/profil/spieler/763079","Centre-Back","20","Uzbekistan","Lens","Ligue 1","France",4e+07,FALSE,NA,"Winter",21,10,1,745
