"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played"
"Bayern Munich","Bundesliga","Germany","2024","Arrivals","Michael Olise","https://www.transfermarkt.com/michael-olise/profil/spieler/566723","Right Winger","22","France","Crystal Palace","Premier League","England",5.3e+07,FALSE,NA,"Summer",56,55,20,3842
"Bayern Munich","Bundesliga","Germany","2024","Arrivals","João Palhinha","https://www.transfermarkt.com/joao-palhinha/profil/spieler/257455","Defensive Midfield","29","Portugal","Fulham","Premier League","England",5.1e+07,FALSE,NA,"Summer",40,25,0,986
"Bayern Munich","Bundesliga","Germany","2024","Arrivals","Hiroki Ito","https://www.transfermarkt.com/hiroki-ito/profil/spieler/353892","Centre-Back","25","Japan","Stuttgart","Bundesliga","Germany",23500000,FALSE,NA,"Summer",10,8,1,282
"Bayern Munich","Bundesliga","Germany","2024","Arrivals","Bryan Zaragoza","https://www.transfermarkt.com/bryan-zaragoza/profil/spieler/713644","Left Winger","22","Spain","Granada CF","LaLiga2","Spain",1.3e+07,FALSE,NA,"Summer",NA,NA,NA,NA
"Bayern Munich","Bundesliga","Germany","2024","Arrivals","Armindo Sieb","https://www.transfermarkt.com/armindo-sieb/profil/spieler/569033","Second Striker","21","Germany","Greuther Fürth","2. Bundesliga","Germany",1500000,FALSE,NA,"Summer",NA,NA,NA,NA
"Bayern Munich","Bundesliga","Germany","2024","Arrivals","Eric Dier","https://www.transfermarkt.com/eric-dier/profil/spieler/175722","Centre-Back","30","England","Tottenham","Premier League","England",0,FALSE,NA,"Summer",50,28,3,1833
"Bayern Munich","Bundesliga","Germany","2024","Arrivals","Maurice Krattenmacher","https://www.transfermarkt.com/maurice-krattenmacher/profil/spieler/829316","Attacking Midfield","18","Germany","Unterhaching","3. Liga","Germany",NA,FALSE,"?","Summer",2,0,0,0
"Bayern Munich","Bundesliga","Germany","2024","Arrivals","Lovro Zvonarek","https://www.transfermarkt.com/lovro-zvonarek/profil/spieler/892973","Attacking Midfield","19","Croatia","FC Bayern II","Regionalliga Bayern","Germany",NA,FALSE,"-","Summer",NA,NA,NA,NA
"Bayern Munich","Bundesliga","Germany","2024","Arrivals","Adam Aznou","https://www.transfermarkt.com/adam-aznou/profil/spieler/938146","Left-Back","18","Morocco","FC Bayern II","Regionalliga Bayern","Germany",NA,FALSE,"-","Summer",22,4,0,25
"Bayern Munich","Bundesliga","Germany","2024","Arrivals","Josip Stanisic","https://www.transfermarkt.com/josip-stanisic/profil/spieler/483046","Right-Back","24","Croatia","Leverkusen","Bundesliga","Germany",NA,TRUE,"End of loan 30/06/2024","Summer",30,26,0,1770
"Bayern Munich","Bundesliga","Germany","2024","Arrivals","Malik Tillman","https://www.transfermarkt.com/malik-tillman/profil/spieler/467437","Attacking Midfield","22","United States","PSV","Eredivisie","Netherlands",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
