"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played"
"Real Madrid","LaLiga","Spain","2024","Arrivals","Endrick","https://www.transfermarkt.com/endrick/profil/spieler/971570","Centre-Forward","18","Brazil","Palmeiras","Série A","Brazil",47500000,FALSE,NA,"Summer",61,37,7,847
"Real Madrid","LaLiga","Spain","2024","Arrivals","Joselu","https://www.transfermarkt.com/joselu/profil/spieler/81999","Centre-Forward","34","Spain","Espanyol","LaLiga","Spain",1500000,FALSE,NA,"Summer",NA,NA,NA,NA
"Real Madrid","LaLiga","Spain","2024","Arrivals","Kylian Mbappé","https://www.transfermarkt.com/kylian-mbappe/profil/spieler/342229","Centre-Forward","25","France","PSG","Ligue 1","France",0,FALSE,NA,"Summer",59,59,44,4745
"Real Madrid","LaLiga","Spain","2024","Arrivals","Álvaro Rodríguez","https://www.transfermarkt.com/alvaro-rodriguez/profil/spieler/948275","Centre-Forward","19","Uruguay","RM Castilla","Primera Federación - Gr. II","Spain",NA,FALSE,"-","Summer",NA,NA,NA,NA
"Real Madrid","LaLiga","Spain","2024","Arrivals","Raúl Asencio","https://www.transfermarkt.com/raul-asencio/profil/spieler/935245","Centre-Back","21","Spain","RM Castilla","Primera Federación - Gr. II","Spain",NA,FALSE,"-","Summer",50,46,0,3187
"Real Madrid","LaLiga","Spain","2024","Arrivals","Mario Martín","https://www.transfermarkt.com/mario-martin/profil/spieler/948273","Defensive Midfield","20","Spain","RM Castilla","Primera Federación - Gr. II","Spain",NA,FALSE,"-","Summer",6,0,0,0
"Real Madrid","LaLiga","Spain","2024","Arrivals","Rafa Marín","https://www.transfermarkt.com/rafa-marin/profil/spieler/662261","Centre-Back","22","Spain","Alavés","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Real Madrid","LaLiga","Spain","2024","Arrivals","Reinier","https://www.transfermarkt.com/reinier/profil/spieler/627226","Attacking Midfield","22","Brazil","Frosinone","Serie A","Italy",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Real Madrid","LaLiga","Spain","2024","Arrivals","Juanmi Latasa","https://www.transfermarkt.com/juanmi-latasa/profil/spieler/623521","Centre-Forward","23","Spain","Getafe","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Real Madrid","LaLiga","Spain","2024","Arrivals","Mario Martín","https://www.transfermarkt.com/mario-martin/profil/spieler/948273","Defensive Midfield","21","Spain","Real Valladolid","LaLiga","Spain",NA,TRUE,"End of loan 31/05/2025","Summer",6,0,0,0
"Real Madrid","LaLiga","Spain","2024","Arrivals","Jesús Vallejo","https://www.transfermarkt.com/jesus-vallejo/profil/spieler/251896","Centre-Back","27","Spain","Granada CF","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",47,4,0,136
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Dani Olmo","https://www.transfermarkt.com/dani-olmo/profil/spieler/293385","Attacking Midfield","26","Spain","Leipzig","Bundesliga","Germany",5.5e+07,FALSE,NA,"Summer",41,39,12,1934
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Pau Víctor","https://www.transfermarkt.com/pau-victor/profil/spieler/707572","Centre-Forward","22","Spain","Girona","LaLiga","Spain",5500000,FALSE,NA,"Summer",58,29,2,379
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Mikayil Faye","https://www.transfermarkt.com/mikayil-faye/profil/spieler/666974","Centre-Back","19","Senegal","Barça Atlètic","Primera Federación - Gr. I","Spain",NA,FALSE,"-","Summer",NA,NA,NA,NA
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Héctor Fort","https://www.transfermarkt.com/hector-fort/profil/spieler/937955","Right-Back","17","Spain","Barça Atlètic","Primera Federación - Gr. I","Spain",NA,FALSE,"-","Summer",57,20,0,638
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Wojciech Szczesny","https://www.transfermarkt.com/wojciech-szczesny/profil/spieler/44058","Goalkeeper","34","Poland",NA,NA,NA,NA,FALSE,"-","Summer",48,30,0,2726
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Marc Casadó","https://www.transfermarkt.com/marc-casado/profil/spieler/636695","Defensive Midfield","20","Spain","Barça Atlètic","Primera Federación - Gr. I","Spain",NA,FALSE,"-","Summer",46,36,1,2447
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Marc Bernal","https://www.transfermarkt.com/marc-bernal/profil/spieler/1018920","Defensive Midfield","17","Spain","Barça Atlètic","Primera Federación - Gr. I","Spain",NA,FALSE,"-","Summer",3,3,0,244
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Gerard Martín","https://www.transfermarkt.com/gerard-martin/profil/spieler/705395","Left-Back","22","Spain","Barça Atlètic","Primera Federación - Gr. I","Spain",NA,FALSE,"-","Summer",60,42,1,1793
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Ansu Fati","https://www.transfermarkt.com/ansu-fati/profil/spieler/466810","Left Winger","21","Spain","Brighton","Premier League","England",NA,TRUE,"End of loan 30/06/2024","Summer",38,11,0,298
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Sergiño Dest","https://www.transfermarkt.com/sergino-dest/profil/spieler/361104","Right-Back","23","United States","PSV","Eredivisie","Netherlands",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Eric García","https://www.transfermarkt.com/eric-garcia/profil/spieler/466794","Centre-Back","23","Spain","Girona","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",51,45,5,2104
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Chadi Riad","https://www.transfermarkt.com/chadi-riad/profil/spieler/689637","Centre-Back","21","Morocco","Real Betis","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Clément Lenglet","https://www.transfermarkt.com/clement-lenglet/profil/spieler/182904","Centre-Back","29","France","Aston Villa","Premier League","England",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Julián Araujo","https://www.transfermarkt.com/julian-araujo/profil/spieler/513970","Right-Back","22","Mexico","UD Las Palmas","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Pablo Torre","https://www.transfermarkt.com/pablo-torre/profil/spieler/720038","Attacking Midfield","21","Spain","Girona","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",55,14,4,421
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Álex Valle","https://www.transfermarkt.com/alex-valle/profil/spieler/709957","Left-Back","20","Spain","Levante","LaLiga2","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",2,0,0,0
